democracy_index,electoral_processand_pluralism,functioning_of_government,political_participation,political_culture,civil_liberties,category
3.04,0,3.93,2.78,4.38,4.12,Authoritarian
3.03,0.92,2.86,2.22,5.63,3.53,Authoritarian
3,1.08,3.57,3.33,4.38,2.65,Authoritarian
2.97,2.92,1.14,4.44,2.5,3.82,Authoritarian
2.94,0.5,2.14,4.44,4.38,3.24,Authoritarian
2.94,2.17,1.79,5,2.5,3.24,Authoritarian
2.87,0.42,1.79,3.89,5.63,2.65,Authoritarian
2.76,0,3.93,2.22,5,2.65,Authoritarian
2.71,0.83,3.21,2.78,4.38,2.35,Authoritarian
2.65,0.5,2.14,3.33,3.75,3.53,Authoritarian
2.45,0,3.21,4.44,3.13,1.47,Authoritarian
2.37,0,2.14,1.67,6.88,1.18,Authoritarian
2.37,0.83,2.86,1.67,5,1.47,Authoritarian
2.33,0,0.43,3.89,5,2.35,Authoritarian
2.19,1,0.36,1.67,5,2.94,Authoritarian
2.15,0,1.79,2.78,5,1.18,Authoritarian
2.01,0.08,1.86,2.22,5,0.88,Authoritarian
1.98,1.67,0,2.78,3.13,2.35,Authoritarian
1.95,0,0,3.89,5,0.88,Authoritarian
1.93,0,2.86,2.22,3.13,1.47,Authoritarian
1.93,0.08,0.79,1.67,6.25,0.88,Authoritarian
1.92,0,0.43,3.33,4.38,1.47,Authoritarian
1.72,0,0.79,2.22,5,0.59,Authoritarian
1.61,0,0,1.67,3.75,2.65,Authoritarian
1.52,2.25,0,1.11,1.88,2.35,Authoritarian
1.49,0.5,0.71,2.22,3.13,0.88,Authoritarian
1.43,0,0,2.78,4.38,0,Authoritarian
1.08,0,2.5,1.67,1.25,0,Authoritarian
